direction,profile,program_code,vuz,faculty,exams,scores,forms
Народная художественная культура,"Руководство любительским хореографическим
коллективом",51.03.02,МГУ имени Н.П. Огарева,Институт национальной культуры,"[['РЯ'], ['Л'], ['ДЭ']]","[['148', 'очно']]","[{'education_form2': 'Очная', 'score': '148', 'free_places': '14', 'average_score': '161', 'olympic': 'no data', 'price': -111300}]"
Народная художественная культура,Руководство студией декоративно-прикладного творчества,51.03.02,МГУ имени Н.П. Огарева,Институт национальной культуры,"[['РЯ'], ['Л'], ['ДЭ']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -111300}]"
Библиотечно-информационная деятельность,Без профиля,51.03.06,МГУ имени Н.П. Огарева,Институт национальной культуры,"[['РЯ'], ['Л'], ['И', 'О']]","[['185', 'очно']]","[{'education_form2': 'Очная', 'score': '185', 'free_places': '14', 'average_score': '197', 'olympic': 'no data', 'price': -111300}]"
Искусство народного пения,Без профиля,53.03.04,МГУ имени Н.П. Огарева,Институт национальной культуры,"[['РЯ'], ['Л'], ['ДЭ']]","[['155', 'очно']]","[{'education_form2': 'Очная', 'score': '155', 'free_places': '8', 'average_score': '163', 'olympic': 'no data', 'price': -221100}]"
Фундаментальная и прикладная химия,Без профиля,04.05.01,МГУ имени Н.П. Огарева,Институт наукоемких технологий и новых материалов,"[['РЯ'], ['Х'], ['Б', 'M']]","[['206', 'очно']]","[{'education_form2': 'Очная', 'score': '206', 'free_places': '25', 'average_score': '232', 'olympic': 'no data', 'price': -127500}]"
Биоинженерия и биоинформатика,Без профиля,06.05.01,МГУ имени Н.П. Огарева,Факультет биотехнологии и биологии,"[['РЯ'], ['M'], ['Б', 'Ф']]","[['131', 'очно']]","[{'education_form2': 'Очная', 'score': '131', 'free_places': '25', 'average_score': '192', 'olympic': 'no data', 'price': -127500}]"
Строительство уникальных зданий и сооружений,Без профиля,08.05.01,МГУ имени Н.П. Огарева,Институт архитектуры и строительства,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['159', 'очно']]","[{'education_form2': 'Очная', 'score': '159', 'free_places': '26', 'average_score': '213', 'olympic': 'no data', 'price': -127500}]"
Радиоэлектронные системы и комплексы,Без профиля,11.05.01,МГУ имени Н.П. Огарева,Институт наукоемких технологий и новых материалов,"[['РЯ'], ['M'], ['ИКТ', 'Ф']]","[['137', 'очно']]","[{'education_form2': 'Очная', 'score': '137', 'free_places': '32', 'average_score': '187', 'olympic': 'no data', 'price': -127500}]"
Лечебное дело,Без профиля,31.05.01,МГУ имени Н.П. Огарева,Медицинский институт,"[['РЯ'], ['Б'], ['Х']]","[['232', 'очно']]","[{'education_form2': 'Очная', 'score': '232', 'free_places': '162', 'average_score': '257', 'olympic': '4%', 'price': -155700}]"
Лечебное дело,General medicine,31.05.01,МГУ имени Н.П. Огарева,Медицинский институт,"[['РЯ'], ['Б'], ['Х']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -300000}]"
Педиатрия,Без профиля,31.05.02,МГУ имени Н.П. Огарева,Медицинский институт,"[['РЯ'], ['Б'], ['Х']]","[['203', 'очно']]","[{'education_form2': 'Очная', 'score': '203', 'free_places': '50', 'average_score': '219', 'olympic': 'no data', 'price': -155700}]"
Стоматология,Без профиля,31.05.03,МГУ имени Н.П. Огарева,Медицинский институт,"[['РЯ'], ['Б'], ['Х']]","[['273', 'очно']]","[{'education_form2': 'Очная', 'score': '273', 'free_places': '9', 'average_score': '274', 'olympic': '11%', 'price': -155700}]"
Фармация,Без профиля,33.05.01,МГУ имени Н.П. Огарева,Медицинский институт,"[['РЯ'], ['Б'], ['Х']]","[['171', 'очно']]","[{'education_form2': 'Очная', 'score': '171', 'free_places': '25', 'average_score': '193', 'olympic': 'no data', 'price': -127500}]"
Ветеринария,Veterinary medicine,36.05.01,МГУ имени Н.П. Огарева,Аграрный институт,"[['РЯ'], ['Б'], ['M', 'Х']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -180000}]"
Ветеринария,Без профиля,36.05.01,МГУ имени Н.П. Огарева,Аграрный институт,"[['РЯ'], ['Б'], ['M', 'Х']]","[['129', 'очно']]","[{'education_form2': 'Очная', 'score': '129', 'free_places': '50', 'average_score': '166', 'olympic': 'no data', 'price': -127500}, {'education_form2': 'Очно-заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': '166', 'olympic': 'no data', 'price': -76500}]"
Экономическая безопасность,Без профиля,38.05.01,МГУ имени Н.П. Огарева,Экономический институт,"[['РЯ'], ['M'], ['И', 'О']]",[],"[{'education_form2': 'Очная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -111300}, {'education_form2': 'Заочная', 'score': 'Только платное', 'free_places': 'Нет данных', 'average_score': 'no data', 'olympic': 'no data', 'price': -66800}]"
Правоохранительная деятельность,Без профиля,40.05.02,МГУ имени Н.П. Огарева,Юридический институт,"[['РЯ'], ['О'], ['ИЯ', 'И']]","[['252', 'очно'], ['222', 'заоч.']]","[{'education_form2': 'Очная', 'score': '252', 'free_places': '6', 'average_score': '260', 'olympic': 'no data', 'price': -111300}, {'education_form2': 'Заочная', 'score': '222', 'free_places': '6', 'average_score': '260', 'olympic': 'no data', 'price': -66800}]"
Перевод и переводоведение,"Лингвистическое обеспечение
межгосударственных отношений
(английский, немецкий,
французский языки)",45.05.01,МГУ имени Н.П. Огарева,Факультет иностранных языков,"[['РЯ'], ['ИЯ'], ['И', 'О']]","[['243', 'очно']]","[{'education_form2': 'Очная', 'score': '243', 'free_places': '16', 'average_score': '260', 'olympic': 'no data', 'price': -111300}]"
